cid,brand,sentiment,nps,intent,att_respected,att_friendly,att_unique,att_efficient,att_affordable,att_innovative,att_knowledgeable,att_indispensable,att_caring,att_visionary,att_ethical,att_collaborative,att_effective,att_open,att_mission_driven,att_reliable,att_credible,att_quality_driven,revenue,patients,yip,happiness,focus,oi,brand_orientation,practice_area,env
467938407,Verity Diagnostics,5,10,5,5,5,5,4,5,5,5,5,4,5,4,4,5,5,5,5,5,5,3,212,12,5,2,22,2,2,1
467943143,Moonshot Clinical,2,7,3,3,3,5,4,2,5,4,3,1,4,3,4,3,3,4,3,4,4,3,257,12,5,2,28,2,1,1
467943708,Verity Diagnostics,4,9,5,4,2,1,4,3,3,5,1,2,2,3,2,4,2,3,4,5,2,3,225,16,3,2,20,1,2,2
467945867,Verity Diagnostics,4,8,4,3,3,4,3,3,4,3,3,1,4,3,3,3,1,4,3,3,3,4,333,25,2,2,31,1,2,1
467947047,Moonshot Clinical,4,7,4,4,3,4,4,3,5,4,3,3,4,4,4,4,4,3,4,3,4,3,220,17,4,2,20,2,1,3
467956517,Acugen Health,5,10,3,5,4,2,4,3,5,5,3,4,4,5,4,3,5,5,5,4,5,3,246,12,3,2,23,2,2,2
467967926,Moonshot Clinical,4,8,5,4,2,2,3,2,3,4,2,2,1,3,2,4,4,4,5,4,3,3,234,7,5,1,19,1,1,1
467973582,Verity Diagnostics,4,8,5,3,3,4,3,1,3,4,3,1,3,4,4,4,4,2,4,4,4,3,192,15,3,2,35,1,2,1
467986358,Moonshot Clinical,4,8,4,3,4,3,3,3,4,4,3,4,4,4,4,4,3,4,4,4,4,3,249,14,4,1,24,2,1,1
467987561,Moonshot Clinical,4,10,4,5,5,5,4,3,5,5,3,5,3,4,5,5,5,5,5,5,5,2,172,12,3,1,23,1,1,3
468045862,Moonshot Clinical,5,9,5,4,4,5,3,3,5,5,3,3,4,4,3,4,4,5,5,3,4,3,255,18,4,2,22,2,1,1
468048026,Verity Diagnostics,4,7,3,3,2,2,3,2,3,3,1,2,2,3,3,2,3,4,4,3,3,5,329,25,2,2,31,1,2,1
468086353,Moonshot Clinical,4,8,4,3,4,5,4,3,4,4,3,3,4,4,3,4,4,4,4,4,4,2,176,3,4,1,19,1,1,1
468103378,Verity Diagnostics,4,7,4,4,4,4,3,4,4,2,3,4,3,4,4,3,4,5,3,3,4,5,293,29,4,1,33,1,2,2
468104530,Acugen Health,5,10,4,5,3,2,5,3,4,5,3,3,3,4,3,4,4,3,5,5,4,3,195,8,1,1,30,1,2,1
468110992,Moonshot Clinical,5,9,5,5,4,5,4,1,5,5,3,4,5,5,4,5,5,4,3,4,4,2,168,9,5,1,27,1,1,3
468111413,Verity Diagnostics,4,9,4,4,4,4,5,4,5,5,4,4,5,4,5,5,4,5,4,4,5,3,165,3,5,1,22,2,2,3
468111458,Verity Diagnostics,4,7,4,4,4,3,4,3,3,4,4,4,3,3,3,4,3,3,4,4,3,3,243,6,3,2,19,2,2,1
468113597,Verity Diagnostics,5,9,4,4,4,5,4,4,4,5,4,3,4,4,3,5,4,4,5,4,4,4,353,18,3,2,32,2,2,2
468114200,Verity Diagnostics,5,10,5,4,5,4,5,2,5,5,3,5,4,4,4,5,5,1,4,4,5,3,241,8,3,2,21,1,2,2
468114414,Verity Diagnostics,4,9,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,230,18,3,1,33,2,2,1
468118320,Verity Diagnostics,5,10,5,4,3,5,5,1,5,5,4,3,5,5,5,5,5,5,4,4,5,3,251,6,2,1,21,1,2,1
468119456,Verity Diagnostics,4,7,4,4,5,2,3,4,2,4,3,3,3,4,4,3,4,3,4,4,4,3,247,8,4,2,21,1,2,1
468121767,Verity Diagnostics,5,9,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,3,216,15,4,2,22,1,2,1
468123508,Verity Diagnostics,4,8,4,4,4,3,3,3,3,4,3,4,2,3,3,4,3,3,4,4,3,2,194,4,5,1,30,1,2,1
468123803,Moonshot Clinical,5,9,5,5,5,5,5,4,4,5,4,4,4,3,5,5,5,5,5,5,5,1,158,5,4,1,21,1,1,1
468123986,Verity Diagnostics,4,5,3,4,3,1,3,3,2,3,2,3,2,4,3,3,2,3,4,4,3,3,183,4,3,1,22,1,2,1
468124009,Verity Diagnostics,5,9,5,4,5,4,5,2,3,4,4,4,3,4,4,4,4,3,4,4,4,3,188,8,3,2,31,1,2,1
468124487,Verity Diagnostics,4,9,4,5,2,3,3,3,5,3,2,3,4,4,3,4,4,5,4,2,5,3,202,12,5,1,30,1,2,2
468125510,Verity Diagnostics,1,5,3,3,1,2,3,1,3,3,3,3,3,3,3,3,1,3,3,3,3,5,343,16,3,2,31,2,2,1
468125569,Verity Diagnostics,4,9,5,5,4,4,5,4,5,5,3,4,4,5,5,5,3,5,4,5,5,3,257,11,2,1,17,1,2,1
468126101,Moonshot Clinical,2,7,3,2,4,2,3,3,2,4,2,4,3,4,3,4,4,2,3,4,3,3,180,6,4,1,22,2,1,1
468126877,Moonshot Clinical,5,10,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,195,9,4,1,27,2,1,1
468127092,Verity Diagnostics,4,9,3,4,4,3,5,4,4,4,4,3,3,4,4,4,2,4,4,4,4,3,252,8,4,2,23,2,2,1
468128202,Moonshot Clinical,4,8,4,4,3,5,4,5,4,4,3,3,4,3,3,5,3,3,4,4,4,3,251,11,3,1,24,2,1,1
468130689,Verity Diagnostics,4,8,3,4,4,4,4,3,5,4,3,3,4,3,4,3,3,3,4,3,4,2,167,12,3,2,28,1,2,2
468145070,Verity Diagnostics,5,5,3,4,4,4,5,4,5,5,4,4,5,4,5,5,5,5,5,5,5,4,331,14,3,2,30,2,2,2
468148994,Verity Diagnostics,2,5,2,3,3,1,3,3,2,4,1,3,1,3,3,3,3,3,3,4,3,5,337,21,3,2,32,2,2,1
468149194,Verity Diagnostics,5,7,4,4,4,5,4,4,5,4,3,4,5,5,5,4,4,4,4,4,4,2,191,7,4,1,30,1,2,1
468155411,Verity Diagnostics,5,9,5,4,4,4,4,4,4,5,4,4,4,5,4,5,4,4,4,4,5,3,261,6,4,2,21,2,2,1
468156972,Verity Diagnostics,5,10,5,5,4,3,4,4,5,4,4,4,5,5,5,4,4,4,5,5,4,4,345,34,1,2,30,1,2,1
468158617,Verity Diagnostics,4,7,4,5,3,3,3,3,5,4,3,3,5,5,4,4,4,5,4,5,4,3,176,12,3,2,25,2,2,2
468168845,Verity Diagnostics,5,9,4,4,4,4,5,3,5,5,3,4,4,4,5,5,4,5,4,4,5,3,186,7,4,2,29,1,2,1
468169881,Verity Diagnostics,5,10,5,5,4,4,5,3,5,5,3,5,5,5,5,5,5,5,5,5,5,4,332,23,3,1,31,2,2,2
468169990,Verity Diagnostics,4,9,5,5,3,4,4,2,4,3,4,3,3,2,3,4,3,4,4,5,5,4,317,18,2,1,29,1,2,1
468174457,Moonshot Clinical,4,6,3,2,2,5,3,3,5,3,2,3,5,3,2,3,3,2,3,3,3,2,162,3,4,1,19,2,1,1
468180621,Verity Diagnostics,4,7,4,5,4,4,4,4,4,4,3,4,4,3,4,4,4,3,4,4,4,3,289,8,2,1,19,1,2,2
468203787,Verity Diagnostics,5,9,5,4,4,5,4,2,5,5,4,4,5,4,4,4,4,4,4,5,5,2,195,14,4,1,33,1,2,1
468205228,Moonshot Clinical,2,7,4,3,3,3,3,3,4,3,2,3,4,3,3,4,4,3,3,4,3,3,194,13,5,2,27,2,1,1
468211132,Verity Diagnostics,2,6,3,3,3,3,3,2,3,3,2,3,3,3,3,3,3,3,3,3,3,4,305,30,3,1,30,1,2,1
468286171,Verity Diagnostics,2,6,5,5,5,2,3,2,4,4,2,4,4,4,4,4,4,4,4,5,4,3,234,19,4,2,13,1,2,3
468298537,Verity Diagnostics,4,9,3,4,2,3,4,4,4,4,4,3,3,2,3,4,3,3,5,4,3,4,331,27,3,1,32,1,2,2
468301924,Acugen Health,5,10,4,5,2,4,4,2,5,5,4,2,5,4,3,5,3,3,5,5,4,3,217,14,3,1,21,2,2,2
468308873,Verity Diagnostics,2,6,3,3,4,4,2,3,4,4,2,3,4,4,4,3,3,3,3,4,4,4,334,27,4,2,30,2,2,1
468322549,Moonshot Clinical,4,8,4,4,3,5,3,2,4,5,4,3,4,5,3,5,3,3,4,4,4,3,231,11,5,1,20,2,1,1
468323351,Moonshot Clinical,4,9,4,3,2,3,3,2,3,3,1,2,2,3,3,4,4,3,4,3,3,3,249,7,2,2,28,2,1,3
468323447,Moonshot Clinical,4,8,3,4,3,4,3,4,4,4,1,3,4,3,3,4,3,4,4,4,4,3,233,12,4,2,22,2,1,1
468323538,Moonshot Clinical,5,10,5,5,5,4,4,4,5,5,4,5,4,4,4,4,4,4,5,4,4,3,217,15,3,2,25,2,1,3
468324137,Moonshot Clinical,5,10,4,4,4,4,4,3,4,4,1,4,4,4,4,4,4,4,4,4,4,3,179,8,4,2,27,2,1,1
468326070,Moonshot Clinical,5,7,3,4,4,3,4,4,5,5,2,5,3,4,4,4,4,4,5,4,4,2,163,5,4,1,20,2,1,3
468326241,Moonshot Clinical,5,10,5,5,5,5,4,3,5,5,3,4,5,4,4,5,4,4,5,5,4,3,199,0,1,1,30,1,1,1
468326451,Moonshot Clinical,4,8,5,5,4,4,5,3,5,4,4,4,4,4,5,4,5,3,4,4,5,2,191,11,4,1,31,2,1,1
468327031,Moonshot Clinical,5,10,5,5,4,2,5,3,4,5,2,4,3,5,4,5,4,3,5,5,4,3,268,14,3,2,26,2,1,1
468327166,Moonshot Clinical,2,5,4,3,4,5,4,2,5,5,1,3,4,3,3,5,2,4,4,3,4,2,156,6,4,1,18,2,1,1
468328244,Moonshot Clinical,4,6,3,4,4,5,4,2,4,5,4,1,5,3,4,5,2,3,3,4,4,3,175,7,1,1,28,1,1,1
468328450,Moonshot Clinical,2,5,3,3,3,4,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,2,156,13,4,2,31,1,1,1
468328974,Moonshot Clinical,4,8,4,4,4,3,4,3,4,4,2,3,3,3,4,4,3,4,4,3,3,2,180,7,4,2,27,2,1,1
468329013,Moonshot Clinical,4,8,4,5,4,5,4,2,5,5,3,4,5,5,4,4,4,4,5,4,4,4,329,27,3,2,30,1,1,1
468330445,Moonshot Clinical,4,7,4,3,3,5,3,2,5,3,1,1,5,3,3,4,3,4,4,4,3,3,164,7,5,1,30,2,1,1
468330474,Moonshot Clinical,5,9,1,4,4,4,5,4,4,5,3,4,4,4,4,4,5,5,5,5,5,1,140,11,4,2,22,1,1,1
468332060,Moonshot Clinical,4,7,4,2,4,4,3,2,4,2,1,1,3,1,2,3,4,2,1,2,1,3,252,13,4,2,17,2,1,1
468333771,Moonshot Clinical,5,10,5,4,4,4,5,4,5,5,3,4,4,4,4,5,5,5,5,5,5,2,170,11,4,2,22,1,1,1
468334147,Moonshot Clinical,5,10,4,5,4,5,4,3,5,4,4,5,5,5,4,4,4,5,4,5,5,3,239,13,5,1,30,1,1,1
468335115,Moonshot Clinical,4,10,5,4,4,3,4,3,5,5,3,4,4,4,5,5,4,4,5,5,4,2,189,10,3,2,22,2,1,1
468336329,Moonshot Clinical,4,6,3,3,2,4,3,3,4,3,3,3,3,3,2,4,3,3,3,3,3,3,246,12,5,1,21,2,1,1
468336968,Moonshot Clinical,5,10,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,3,239,7,4,2,20,1,1,1
468339142,Moonshot Clinical,5,10,4,4,5,4,5,4,3,5,2,4,3,5,3,5,3,5,5,5,5,3,165,10,5,2,30,2,1,3
468339144,Moonshot Clinical,5,9,5,4,4,5,4,4,5,4,4,4,4,4,5,4,4,5,5,5,5,3,150,9,4,1,29,2,1,1
468339587,Verity Diagnostics,5,10,5,5,5,5,5,3,5,5,3,5,5,5,5,5,4,5,4,4,5,3,266,10,2,2,22,2,2,1
468339802,Moonshot Clinical,5,9,4,4,2,3,4,3,5,5,1,4,4,4,3,4,4,3,4,4,4,3,198,15,1,2,33,2,1,1
468340904,Moonshot Clinical,5,9,5,4,4,5,5,4,5,5,4,4,4,5,5,5,5,5,5,4,4,3,190,8,3,1,24,1,1,1
468341045,Moonshot Clinical,4,9,4,3,2,1,3,3,3,3,3,3,3,4,2,3,3,2,3,3,2,2,164,14,4,1,17,2,1,1
468344512,Moonshot Clinical,4,9,4,4,4,3,4,4,5,4,3,4,4,4,4,4,4,4,5,4,4,4,345,24,2,1,31,2,1,3
468348233,Moonshot Clinical,4,7,3,3,2,3,3,3,4,3,1,3,3,4,2,4,4,3,4,4,3,2,244,12,2,2,23,2,1,3
468354946,Verity Diagnostics,4,7,4,3,4,3,4,2,4,4,4,3,3,3,3,3,3,3,4,4,4,3,225,11,4,2,18,1,2,1
468358323,Verity Diagnostics,5,10,5,5,3,3,5,4,5,5,4,4,5,5,5,5,4,5,5,5,5,4,330,14,4,1,30,2,2,3
468403826,Verity Diagnostics,4,8,3,5,4,2,4,2,4,4,3,3,4,4,3,5,4,4,4,4,4,3,198,10,3,1,30,2,2,1
468411302,Verity Diagnostics,4,8,4,3,4,3,2,2,4,4,1,3,3,4,3,4,3,3,4,4,3,3,239,12,3,2,15,2,2,1
468417396,Verity Diagnostics,4,9,5,5,4,4,4,3,5,5,4,4,5,4,5,5,4,5,4,4,5,3,167,10,2,1,28,1,2,1
468432780,Verity Diagnostics,2,6,3,5,3,3,4,2,4,4,2,3,2,3,4,4,2,3,5,4,3,3,174,8,2,1,25,2,2,1
468447092,Verity Diagnostics,5,10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,157,7,3,1,21,2,2,1
468453801,Verity Diagnostics,5,10,5,5,5,4,5,4,4,5,3,4,4,4,5,5,3,4,5,5,4,3,231,6,1,1,16,2,2,1
468502799,Verity Diagnostics,2,8,2,5,4,5,4,4,5,4,5,4,5,3,5,5,4,4,5,5,5,3,199,3,4,2,27,1,2,1
468504171,Acugen Health,2,7,3,4,3,3,4,3,3,2,4,2,3,3,3,4,3,3,4,2,3,3,262,9,4,2,22,2,2,1
468509251,Verity Diagnostics,5,7,4,5,4,5,5,3,4,5,5,4,5,4,5,4,4,4,5,5,5,3,227,9,4,2,25,1,2,2
468518568,Verity Diagnostics,4,9,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,5,4,4,4,306,19,1,2,31,1,2,2
468518630,Verity Diagnostics,2,7,4,5,5,4,5,5,4,4,4,4,4,5,4,4,5,5,5,5,5,3,169,7,3,2,31,2,2,1
468548841,Verity Diagnostics,4,8,4,4,5,4,4,4,4,4,3,4,4,5,5,4,4,4,4,4,4,3,179,13,4,1,30,1,2,1
468577341,Verity Diagnostics,5,10,5,5,3,2,5,2,3,3,3,4,3,4,3,5,3,3,5,5,4,3,240,9,3,1,17,1,2,1
468599191,Acugen Health,5,9,4,5,5,3,4,3,4,5,5,4,3,4,5,4,4,5,5,5,5,2,177,8,4,1,28,1,2,2
468640627,Verity Diagnostics,4,8,4,5,4,4,4,3,4,4,4,4,4,4,4,4,4,4,5,5,4,3,235,8,2,2,22,2,2,1
468649283,Verity Diagnostics,5,8,3,4,3,2,4,3,3,4,3,3,3,4,3,4,4,3,4,4,4,3,247,11,1,2,22,1,2,1
468700427,Verity Diagnostics,5,10,4,5,5,4,5,5,5,5,4,4,5,5,3,5,4,5,5,5,5,4,314,15,3,1,32,1,2,1
